time,plv,part,pven,qao,qper,qmv,vlv,vart,vven,accuracy,est,phase,cycle,cpu
62.0,0.4169,11.30428419666644,1.9212977500678912,0.0,78.19155372165459,300.87955001357824,64.61424504260457,782.607104916661,4152.778650040735,-1,-1,-1,1,-1
64.0,0.4276,11.29802887236871,1.9205554567469183,0.0,78.14561179684826,298.59109134938365,65.21600414263172,782.4507218092177,4152.333274048151,-1,-1,-1,1,-1
66.0,0.4383,11.29177722342496,1.9198206384817438,0.0,78.09963820786012,296.3041276963487,65.81318632533049,782.294430585624,4151.892383089046,-1,-1,-1,1,-1
68.0,0.4489,11.285529252368333,1.9190932901834472,0.0,78.05363301820738,294.0386580366894,66.40579458072318,782.1382313092083,4151.455974110068,-1,-1,-1,1,-1
70.0,0.4592,11.279284961726876,1.9183733401000518,0.0,78.00759684689021,291.8346680200103,66.99387189679656,781.9821240431719,4151.024004060031,-1,-1,-1,1,-1
72.0,0.4698,11.273044353979126,1.9176605831961417,0.0,77.96153142319154,289.57211663922834,67.57754123283658,781.8261088494781,4150.596349917685,-1,-1,-1,1,-1
74.0,0.4803,11.266807431465272,1.916955214578755,0.0,77.91543514072099,287.331042915751,68.15668546611504,781.6701857866318,4150.173128747253,-1,-1,-1,1,-1
76.0,0.4909,11.260574196654016,1.916257162552838,0.0,77.8693086175098,285.07143251056755,68.73134755194654,781.5143549163504,4149.754297531703,-1,-1,-1,1,-1
78.0,0.5013,11.254344651964615,1.9155664888065287,0.0,77.82315135965072,282.8532977613057,69.30149041696768,781.3586162991154,4149.339893283917,-1,-1,-1,1,-1
80.0,0.5118,11.248118799855842,1.9148830549851892,0.0,77.77696454058878,280.6166109970378,69.8671970124903,781.2029699963961,4148.9298329911135,-1,-1,-1,1,-1
82.0,0.5222,11.241896642692595,1.9142069228303353,0.0,77.73074766551883,278.40138456606707,70.42843023448437,781.0474160673149,4148.524153698201,-1,-1,-1,1,-1
84.0,0.5324,11.235678182879356,1.9135380207073331,0.0,77.68450135143352,276.22760414146666,70.9852330036165,780.8919545719839,4148.1228124244,-1,-1,-1,1,-1
86.0,0.5428,11.229463422771241,1.9128762103646992,0.0,77.63822677005453,274.0152420729399,71.53768821189944,780.736585569281,4147.72572621882,-1,-1,-1,1,-1
88.0,0.5532,11.223252364629639,1.9122216203136895,0.0,77.59192286929958,271.8043240627379,72.08571869604532,780.581309115741,4147.332972188214,-1,-1,-1,1,-1
90.0,0.5636,11.217045010800094,1.9115742456430447,0.0,77.54558970964206,269.594849128609,72.62932734417079,780.4261252700023,4146.944547385827,-1,-1,-1,1,-1
92.0,0.5744,11.210841363623322,1.9109340814449813,0.0,77.49922735148617,267.3068162889963,73.16851704242801,780.271034090583,4146.560448866989,-1,-1,-1,1,-1
94.0,0.5848,11.204641425435202,1.9103013894818575,0.0,77.45283363294455,265.1002778963715,73.703130675006,780.11603563588,4146.1808336891145,-1,-1,-1,1,-1
96.0,0.5953,11.198445198744567,1.909675898000978,0.0,77.4064108395299,262.8751796001956,74.23333123079874,779.9611299686142,4145.805538800587,-1,-1,-1,1,-1
98.0,0.6056,11.192252685877401,1.9090576687717764,0.0,77.3599584758802,260.69153375435525,74.75908158999913,779.806317146935,4145.434601263066,-1,-1,-1,1,-1
100.0,0.6161,11.186063889199332,1.9084465635208487,0.0,77.31347771398737,258.4693127041698,75.28046465750784,779.6515972299833,4145.067938112509,-1,-1,-1,1,-1
102.0,0.6268,11.179878810982213,1.907842710737547,0.0,77.2669675020389,256.20854214750943,75.79740328291618,779.4969702745553,4144.705626442528,-1,-1,-1,1,-1
104.0,0.6373,11.173697453582049,1.9072462388220615,0.0,77.22042678966656,253.98924776441228,76.3098203672112,779.3424363395512,4144.347743293237,-1,-1,-1,1,-1
106.0,0.6477,11.167519819438876,1.9066570094188122,0.0,77.1738567501672,251.79140188376243,76.81779886274002,779.1879954859719,4143.994205651287,-1,-1,-1,1,-1
108.0,0.6585,11.161345910898863,1.9060749509350352,0.0,77.12725799969857,249.51499018700707,77.32138166650755,779.0336477724716,4143.644970561021,-1,-1,-1,1,-1
110.0,0.6689,11.155175730258888,1.9055003251610771,0.0,77.0806283758151,247.32006503221544,77.82041164688157,778.8793932564722,4143.300195096646,-1,-1,-1,1,-1
112.0,0.6793,11.149009279988823,1.9049328603722218,0.0,77.03397016347168,245.12657207444437,78.31505177694599,778.7252319997206,4142.959716223333,-1,-1,-1,1,-1
114.0,0.6898,11.142846562375745,1.904372551699186,0.0,76.98728342230466,242.91451033983722,78.80530492109489,778.5711640593936,4142.623531019512,-1,-1,-1,1,-1
