x,y,z,u,v,efx,efy,efz,esx,esy,esz,enx,eny,enz,xi,theta,phi
5.8258371424,5.8258371424,-44.302627739,-0.8361876391222621,-0.4270229681997834,-0.0783120999,0.6440397839999999,0.760973043,-0.0835056173,-0.764872447,0.638746391,-0.993425401,0.0135239525,-0.113679707,0.4784340974116693,2.745732640780816,0.7853981633974483
5.1864651455,5.1864651455,-43.298214546,-0.8437999506572175,-0.7227992432133976,0.192994538,0.5954331819999999,0.779879756,-0.155258301,-0.7662773939999999,0.623469178,-0.968838463,0.241408952,0.0554414074,0.426740689507935,2.743306552227398,0.7853981633974483
4.5512463007,4.5512463007,-42.414449843,-0.8528901403340823,-1,0.235031414,0.640329153,0.731258375,-0.539716888,-0.539716888,0.646073806,-0.808372387,0.546520134,-0.218746034,0.3750472815731846,2.74106615253196,0.7853981633974483
11.651487172,4.8262040086,-49.115825077,-0.8009669252058327,1,-0.824153709,0.328802022,-0.46115062,-0.542554633,-0.224733487,0.8094005990000001,-0.162496566,-0.917269911,-0.363607997,0.6852077291196549,2.734125657115821,0.3926990816987241
10.72958459,4.4443394556,-47.607231058,-0.8058180792103716,0.60550961863494,-0.7289010420000001,0.680702075,-0.0731297192,-0.473399142,-0.423970328,0.7721025929999999,-0.494567006,-0.5974059309999999,-0.631276192,0.6335143211849045,2.731067628169044,0.3926990816987241
9.8205572448,4.0678080009,-46.23073247,-0.8113805280517021,0.2397202590692802,-0.467171957,0.845017542,0.260184005,-0.467851064,-0.485953464,0.738217186,-0.75024379,-0.223147004,-0.622366186,0.5818209132811701,2.728089600229199,0.3926990816987241
8.9223708864,3.6957670297,-44.982797109,-0.8176959517257515,-0.1035030643361473,-0.151081756,0.800244223,0.5803304969999999,-0.436839222,-0.580684076,0.687006185,-0.886761409,0.149717022,-0.437308834,0.5301275053464197,2.72521882933458,0.3926990816987241
8.033164336700001,3.327445617,-43.860248318,-0.8247931574004578,-0.4236173137018271,0.154404847,0.622255509,0.767435486,-0.39877276,-0.671422674,0.624637398,-0.903957648,0.402479408,-0.144467631,0.4784340974116693,2.722484168618398,0.3926990816987241
7.1512593523,2.9621486118,-42.86025426,-0.833429259501695,-0.7206561708781443,0.384240799,0.469071496,0.795192392,-0.461745625,-0.64821037,0.605486824,-0.799468565,0.599829349,0.0324771587,0.426740689507935,2.719915598252288,0.3926990816987241
6.2751683233,2.5992598257,-41.980317099,-0.8420608496141451,-1,0.440438012,0.493110666,0.750237448,-0.7235751580000001,-0.299714644,0.621779802,-0.531463402,0.81670864,-0.224796907,0.3750472815731846,2.717543622069539,0.3926990816987241
